GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018,
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018,
0500000US48393,48393,"Roberts County, Texas",929,929,924,926,942,919,914,910,910,937,903,REP
0500000US48395,48395,"Robertson County, Texas",16622,16620,16554,16656,16454,16430,16468,16701,16814,17185,17284,REP
0500000US48397,48397,"Rockwall County, Texas",78337,78330,78907,81028,82705,84671,87073,90169,93432,96877,100657,REP
0500000US48399,48399,"Runnels County, Texas",10501,10506,10512,10503,10338,10200,10297,10394,10291,10333,10234,REP
0500000US48401,48401,"Rusk County, Texas",53330,53307,53361,53697,53802,53352,53238,53006,52962,54320,54450,REP
0500000US48403,48403,"Sabine County, Texas",10834,10838,10873,10728,10525,10426,10431,10445,10382,10441,10589,REP
0500000US48405,48405,"San Augustine County, Texas",8865,8861,8854,8799,8788,8662,8480,8347,8283,8292,8232,REP
0500000US48407,48407,"San Jacinto County, Texas",26384,26377,26474,26778,26944,26734,27051,27358,27724,28242,28719,REP
0500000US48409,48409,"San Patricio County, Texas",64804,64802,64429,64454,65266,66140,66665,67126,67322,67223,66893,REP
0500000US48411,48411,"San Saba County, Texas",6131,6130,6134,6046,5992,5962,5862,5930,5934,6032,6054,REP
0500000US48413,48413,"Schleicher County, Texas",3461,3461,3503,3309,3260,3192,3165,3195,3057,2995,2895,REP
0500000US48415,48415,"Scurry County, Texas",16921,16919,16929,16861,17124,17276,17380,17566,17381,17004,16866,REP
0500000US48417,48417,"Shackelford County, Texas",3378,3380,3387,3338,3365,3379,3320,3337,3341,3305,3253,REP
0500000US48419,48419,"Shelby County, Texas",25448,25448,25459,25735,26075,25992,25624,25414,25624,25311,25418,REP
0500000US48421,48421,"Sherman County, Texas",3034,3034,3025,3014,3037,3069,3064,3051,3056,3041,3079,REP
0500000US48423,48423,"Smith County, Texas",209714,209725,210408,212764,214836,216521,219605,222447,225344,227460,230221,REP
0500000US48425,48425,"Somervell County, Texas",8490,8491,8501,8427,8556,8569,8562,8620,8672,8847,9016,REP
0500000US48427,48427,"Starr County, Texas",60968,60968,61147,61670,62019,62459,63059,63595,64025,64267,64525,DEM
0500000US48429,48429,"Stephens County, Texas",9630,9630,9617,9531,9610,9368,9345,9390,9385,9307,9433,REP
0500000US48431,48431,"Sterling County, Texas",1143,1143,1137,1170,1191,1230,1341,1336,1344,1301,1311,REP
0500000US48433,48433,"Stonewall County, Texas",1490,1490,1496,1463,1452,1418,1388,1399,1404,1387,1362,REP
0500000US48435,48435,"Sutton County, Texas",4128,4128,4062,3988,3917,3983,3970,3916,3885,3798,3758,REP
0500000US48437,48437,"Swisher County, Texas",7854,7859,7918,7803,7848,7723,7555,7484,7438,7481,7462,REP
0500000US48439,48439,"Tarrant County, Texas",1809034,1810655,1817507,1847736,1882350,1913161,1946639,1985924,2024925,2057468,2084931,REP
0500000US48441,48441,"Taylor County, Texas",131506,131508,131833,132839,134089,133937,135003,136141,136260,136696,137640,REP
